,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,policy,model
313,54.0,144.5799361716486,1.0,0.4395378341934883,242.55315823301643,10.0,0.5541173752099644,180.94861316303985,1.5,0.04611054773727779,73.6242126612764,1.5,0.9343143837321178,168.5693693545628,1.0,0.6210583509937048,2.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
340,47.0,258.0307159038118,1.0,0.0014968390072099464,264.62004227297183,10.0,0.3116137105221911,200.06670706213433,1.0,0.10025755027370156,226.56574304439798,1.5,0.5929347698527832,138.23729726771595,10.0,0.8898363641142072,3.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
341,15.0,224.53032351879952,10.0,0.5381407302885967,169.82948578284245,1.5,0.6464648864536047,315.05753582043604,1.5,0.05929692228895622,155.6961609331762,1.5,0.9389099489807275,41.96840833156792,1.5,0.3832530920705038,3.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
345,24.0,186.2596424418214,1.0,0.17372802394608144,168.27823204911508,10.0,0.5755999852520755,185.762164715,1.0,0.07260774035107588,51.8248591174113,10.0,0.6338983205593934,340.20866335202413,10.0,0.4513487794529251,3.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
347,33.0,283.77429570156824,1.0,0.5105173215682154,272.57299576922696,1.0,0.7236000324980906,156.32942480712668,1.0,0.08600015908705963,262.4689938284476,1.5,0.6346806793478572,310.7711189269216,1.5,0.10943073179546152,2.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
376,86.0,76.69888176138474,1.5,0.029509746565523094,238.62389695580777,1.5,0.6236605656053292,134.42245855469395,1.0,0.0544254792760917,319.151034786972,1.5,0.026238423296931282,225.09475083763482,1.0,0.1312488932374262,1.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
377,69.0,78.74063022683205,1.0,0.475115003108343,285.5547324980727,1.0,0.3445585145848188,157.43998615737956,1.5,0.0796976870944476,134.93270977189687,1.0,0.239874393301228,271.00800267139687,1.0,0.6150794652942323,2.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
391,94.0,163.93747404923334,10.0,0.4911493602242156,181.535674036569,1.0,0.7841436092427772,213.65188607079983,10.0,0.0636793655151429,335.32331768089335,1.5,0.3231847078865968,253.27267387761518,1.0,0.14736981819895134,3.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
429,41.0,51.546207207012,1.0,0.5605163967697013,74.64937449030793,1.5,0.6475932054383163,52.86921519449379,10.0,0.11116552038617897,289.45698878770423,1.0,0.1484642316473055,200.57040195145237,1.5,0.6655434341904668,2.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
434,82.0,115.65547702764128,1.5,0.3700704723877787,71.42212177478855,10.0,0.5807142583232324,54.41880730975039,1.5,0.047769485584881234,271.2778523739099,1.5,0.7021882045386739,57.74092224961894,10.0,0.4755382658368999,2.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
445,28.0,96.0594512684461,1.0,0.18263723086441747,287.85975909551183,1.0,0.40367323104428493,232.86165332250587,1.5,0.07193135163864199,189.5315126260146,1.0,0.24898316005968385,321.60109723681666,1.5,0.4871838234196672,4.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
465,113.0,31.46624330515961,1.5,0.04722099576431995,195.39098695386548,1.0,0.5785033326959304,302.1340267826869,10.0,0.0497721821358305,282.1036375312829,1.0,0.8505446855774486,244.87435943619514,10.0,0.07768935404835231,1.5,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
470,100.0,188.0874664196133,1.5,0.05061321608768536,242.695056586561,1.5,0.9594615380310648,102.04127337448836,1.0,0.09173963892581637,268.96806918824984,10.0,0.15694043213494902,189.7020895406759,10.0,0.16467883196571026,4.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
473,73.0,153.48555848055878,10.0,0.5331557302142669,303.30466799690674,1.0,0.9167221222282268,44.14218985155202,10.0,0.040185242502641265,114.39998572521758,1.5,0.2256407879715669,97.59086479139387,1.0,0.22289039659776252,4.5,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
506,96.0,66.04843628328238,1.0,0.3122440423418877,132.72721964722092,10.0,0.9844290773647258,127.73786659947895,10.0,0.050303701248077815,225.50561113013438,1.0,0.13171662784168234,281.7781701407597,10.0,0.3722824735374419,4.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
508,2.0,137.7770411959218,1.0,0.11625704039543143,205.85358119382244,10.0,0.6932519815139935,144.17429462002931,10.0,0.08325505822764682,100.13249358058569,1.5,0.4539189611404436,104.51468517166715,10.0,0.9866945068627084,3.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
574,62.0,207.8026491930655,1.5,0.4963181356274672,221.86319482559952,10.0,0.2959758222471518,342.6560363472173,1.5,0.011914094015524495,274.647382515002,10.0,0.7346057415395866,54.79219731121988,1.0,0.6942489372414798,3.5,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,policy,dikesnet
