,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Total Expected Number of Deaths
91,152770793.06477118,0.11119685194423036,153916866.49787307,0.1459103075306579,1597202788.6735704,2.7884088713237443,7764172.046041493,0.003618434408365769,0.0,0.0,0.0,0.0,3.0491344652069983
92,2082187131.105448,1.5283255896765082,0.0,0.0,920646942.7132069,1.6654383735111489,0.0,0.0,0.0,0.0,0.0,0.0,3.1937639631876573
93,1716787777.0199852,1.5679869353961988,0.0,0.0,609271060.9553144,1.3742796672215472,0.0,0.0,0.0,0.0,0.0,0.0,2.942266602617746
94,180799273.9244517,0.11378453799544892,0.0,0.0,1871519408.4956539,2.8277617172377862,0.0,0.0,0.0,0.0,0.0,0.0,2.941546255233235
95,2003885583.5153003,1.5718505837245966,593042185.0979716,0.5682873475572514,1305207132.2784595,2.504155654136345,0.0,0.0,0.0,0.0,0.0,0.0,4.644293585418193
96,168342145.240396,0.11718140818677107,7478909.765929433,0.007115131951946994,1721554943.530629,2.882675872971964,0.0,0.0,0.0,0.0,0.0,0.0,3.006972413110682
97,2327687567.9550896,1.5023907712854483,0.0,0.0,1569868051.4912279,2.4993686715229373,0.0,0.0,0.0,0.0,0.0,0.0,4.001759442808385
98,2085350372.5430477,1.531238925731525,0.0,0.0,71347460.94750322,0.12864158776534282,0.0,0.0,0.0,0.0,0.0,0.0,1.659880513496868
99,138672685.00212565,0.11605902969325058,394191988.0879535,0.4147396262826317,1398786056.9288495,2.787243896486631,0.0,0.0,0.0,0.0,0.0,0.0,3.3180425524625132
100,1053050147.5652086,0.6260617358922556,0.0,0.0,1863450090.062616,2.744408201929127,0.0,0.0,0.0,0.0,0.0,0.0,3.3704699378213827
101,3146258104.447327,1.549363793963176,0.0,0.0,268218556.65197563,0.3233587502037922,0.0,0.0,0.0,0.0,0.0,0.0,1.8727225441669682
102,2116665058.3710504,1.560080792674572,0.0,0.0,645051210.7015983,1.1753197684209853,0.0,0.0,0.0,0.0,0.0,0.0,2.735400561095557
103,154209557.69535568,0.1149190596910308,20224721.660664,0.020263259468068173,1587683370.4528465,2.8399925925103497,2436791.6749797426,0.0009958279484610837,0.0,0.0,0.0,0.0,2.97617073961791
104,1906298374.9915535,1.4078004103678596,0.0,0.0,1440304246.6354132,2.6559565856767544,0.0,0.0,0.0,0.0,0.0,0.0,4.063756996044614
105,140537881.07939744,0.11013084372257233,109254584.37957321,0.11249491582498423,1480696780.671741,2.787385605775056,0.0,0.0,0.0,0.0,0.0,0.0,3.0100113653226126
106,190851129.08683652,0.1152779139065708,58906765.23198904,0.04781202092735064,1964223033.7889261,2.8500161446277232,0.0,0.0,490768603.0523341,0.3659106197768935,0.0,0.0,3.379016699238538
107,202016745.91580245,0.18229499998908966,0.0,0.0,1307184162.3079627,2.8692876984025784,0.0,0.0,0.0,0.0,0.0,0.0,3.051582698391668
108,1109222244.2301302,0.8771366405257891,0.0,0.0,1355927099.5021632,2.657590056455718,3303104.8143697274,0.0014806312876054213,0.0,0.0,0.0,0.0,3.5362073282691124
109,205526294.9344416,0.11748553073134305,62001836.14469934,0.04714952167514918,2099993903.4512594,2.8875021318864817,0.0,0.0,0.0,0.0,0.0,0.0,3.052137184292974
110,2383698426.463045,1.5479045304950798,0.0,0.0,1264223460.6280427,2.0091835167585144,0.0,0.0,0.0,0.0,0.0,0.0,3.557088047253594
